f_int,f_int_err,f_peak,f_peak_err,ra,ra_err,decl,decl_err,det_sigma,band,freq_eff,taustart_ts,mjd
0.0069629657136211,4.6301272331782e-05,0.0069628630845639,2.67316580335457e-05,237.412495563531,0.00204895251218321,-47.323672422448,0.00138889937810554,249.897923193287,1,1284020729.385,2021-06-19 21:13:27.900789,59384.88435070358
0.00688747846755983,5.81845380659182e-05,0.00688731462237876,3.35920595796088e-05,237.412519739176,0.00204899150939767,-47.3237278411629,0.00138890002615258,194.063478067095,1,1284033502.318,2021-06-27 00:11:17.527607,59392.00784175471
0.0073627703209893,4.89703070923174e-05,0.00736266175266189,2.8272603079937e-05,237.412424922916,0.0020489543330681,-47.3236697209603,0.00138889764722735,246.712176738963,1,1284045370.2,2021-07-04 21:01:20.885701,59399.87593617709
0.0074226674927714,5.23476201836897e-05,0.00742254443398597,3.02224115454133e-05,237.412662468194,0.00204898325673481,-47.3237183289365,0.00138889648295037,234.457230949402,1,1284056259.054,2021-07-11 23:51:28.389216,59406.994078578886
0.00760564483446287,4.78341998728057e-05,0.00760554455321444,2.76167240387449e-05,237.412381258701,0.00204895375756698,-47.3236150337365,0.00138889810288536,261.535002285739,1,1284071999.131,2021-07-26 16:14:57.222960,59421.67705119167
0.00801426724931578,4.21544567427084e-05,0.0080141933395343,2.43376624972437e-05,237.412497384705,0.00204895112366299,-47.323685976932,0.00138889670483313,316.899874919394,1,1284077898.428,2021-07-31 19:37:45.994374,59426.8178934534
0.00805974933509973,4.57424221184172e-05,0.00805966279935714,2.64091161715811e-05,237.412516134458,0.00204895303584223,-47.3236923677749,0.00138889795061654,294.005643002802,1,1284083359.214,2021-08-07 19:26:41.326042,59433.81020053289
0.00761365535803056,5.81131567395883e-05,0.00761350750355824,3.35509951260448e-05,237.412579312011,0.0020489753521207,-47.3236918179703,0.00138890714947765,222.694632031716,1,1284088044.964,2021-08-15 20:50:19.784600,59441.86828454398
0.00775114892596987,4.48066261443495e-05,0.00775106258893065,2.58688295198587e-05,237.412416991948,0.00204895010569633,-47.3235967242052,0.00138889603015762,284.052050038783,1,1284088684.472,2021-08-22 14:55:30.208102,59448.62187740859
0.0078363969495725,4.47825888901311e-05,0.00783631164334989,2.58549582932073e-05,237.412449933473,0.00204894949051343,-47.3236141723759,0.00138889604564037,287.053359221996,1,1284089495.959,2021-08-28 15:00:42.943361,59454.62549702964
0.00833708769247396,4.26748350462444e-05,0.00833701487961599,2.46381123200714e-05,237.412514851132,0.00204895059057277,-47.3236872010789,0.00138889533705464,324.626399940243,1,1284089252.228,2021-09-05 16:43:49.936396,59462.69710574533
0.00809756670194563,4.31690751532718e-05,0.00809748998881612,2.49234410433942e-05,237.412504252217,0.00204894637370054,-47.3235782173534,0.00138889491699425,311.59443452515,1,1284085633.16,2021-09-13 14:16:32.963125,59470.59482596209
0.00814926030310941,4.91726347470048e-05,0.00814916140055392,2.83894893580094e-05,237.412536879759,0.0020489490417354,-47.3236156376844,0.0013888970513625,276.122126010298,1,1284081529.004,2021-09-20 14:41:38.744336,59477.61225398537
0.00799267260913279,4.28086386373025e-05,0.00799259618165012,2.47153427057369e-05,237.412557769885,0.00204894765752064,-47.3235806919375,0.00138889494794777,312.449679703651,1,1284075359.764,2021-09-27 12:41:55.424015,59484.52911370388
0.00827366987222399,4.43358476530205e-05,0.00827359067853214,2.55970685655406e-05,237.412543047834,0.00204894919463567,-47.3236526253555,0.00138889563626086,310.777029688724,1,1284068636.283,2021-10-04 14:11:58.437960,59491.5916485875
0.00850910103399117,4.40653416705702e-05,0.00850902496820668,2.54409094483526e-05,237.412565086354,0.00204894886701862,-47.3236531663847,0.00138889533141856,322.66352642284,1,1284062641.501,2021-10-09 14:11:50.461016,59496.59155626176
0.00792917333259969,4.32439301862941e-05,0.00792909471837264,2.49666471982172e-05,237.412550757569,0.00204894612817597,-47.3235473099174,0.00138889527367439,306.287367057189,1,1284050945.696,2021-10-17 10:56:15.000791,59504.455729175825
0.00814214165914002,4.07020265592793e-05,0.00814207383689556,2.349913024636e-05,237.41260161903,0.00204894621840565,-47.3235964470886,0.00138889440621764,336.124408848066,1,1284041906.555,2021-10-23 11:11:17.558638,59510.466175447196
0.00837714014113145,3.82704883736421e-05,0.00837708186228148,2.20953230487196e-05,237.412517563757,0.0020489479271034,-47.3236548027003,0.00138889343776962,365.463192863019,1,1284029080.374,2021-10-31 13:11:42.930312,59518.549802434165
0.00819012335795046,4.58720143526338e-05,0.00819003771651753,2.64839428979656e-05,237.412431583617,0.00204896123872659,-47.3236848377411,0.00138889473530285,299.133839626911,1,1284014782.656,2021-11-08 14:41:15.530259,59526.61198530393
0.00809616061375886,4.91763602092351e-05,0.00809606104745335,2.83916356409126e-05,237.412579791595,0.00204894864178715,-47.3236141503728,0.00138889727278592,275.638943404243,1,1284002719.277,2021-11-14 10:51:38.792674,59532.45253232262
