f_int,f_int_err,f_peak,f_peak_err,ra,ra_err,decl,decl_err,det_sigma,band,freq_eff,taustart_ts,mjd
0.0772409557554981,0.000357701557546865,0.0772404035855471,0.000206517614202811,282.079706207617,0.00138948818626736,-1.67911517831783,0.00138889155023329,334.876204279366,1,1283986938.47656,2021-02-28 07:29:28.900,59273.3121400463
0.0801086665291887,0.00039400806501915,0.0801080205634772,0.000227478828084452,282.079717862767,0.00138948926059823,-1.67910902681708,0.00138889262848032,318.13286455569,1,1283986938.47656,2021-03-06 05:17:44.200,59279.220650462965
0.0802941121035911,0.000455143517437611,0.0802932521168248,0.000262774417847841,282.079824162195,0.00138949047083964,-1.67910510864702,0.00138889384099337,280.5762704969,1,1283986938.47656,2021-03-13 02:38:08.200,59286.10981712963
0.0828089778088296,0.000390477022374359,0.0828083640577243,0.000225440343083046,282.079734795415,0.00138948923361324,-1.67913490323225,0.0013888925831188,333.960397343769,1,1283986938.47656,2021-03-20 03:36:30.300,59293.15035069444
0.0789604910850036,0.000383147682569862,0.0789598713567291,0.000221208681481909,282.079693706295,0.0013894888953744,-1.67904450809615,0.00138889230925765,327.976281673376,1,1283986938.47656,2021-03-28 06:58:14.400,59301.29044444444
0.0801123205610409,0.000431167977230753,0.0801115470394681,0.000248932544137865,282.079734000839,0.00138949034423392,-1.67905469084547,0.00138889375026784,293.294627123774,1,1283986938.47656,2021-04-05 04:26:09.900,59309.18483680556
0.0826113887607419,0.000448514963653128,0.0826105770660686,0.00025894769069623,282.079760292877,0.00138949034556756,-1.67909597213394,0.00138889372226686,291.62047751003,1,1283986938.47656,2021-04-10 02:14:18.800,59314.09327314815
0.081191915751573,0.000442152774775175,0.0811911131303004,0.000255274500002806,282.079749233851,0.00138949011235393,-1.67915630479294,0.00138889344627871,293.006424018633,1,1283986938.47656,2021-04-19 00:03:56.700,59323.00273958333
0.0805212786415999,0.000465585744073801,0.0805203812801043,0.000268803058989138,282.079790682168,0.00138949084651311,-1.6791095063164,0.00138889421338274,273.883149842965,1,1283986938.47656,2021-04-24 00:34:16.900,59328.02380671296
0.0777568938762976,0.000596382953070165,0.0777553691556417,0.000344315106751058,282.079719297001,0.00138949411637581,-1.6790820224018,0.00138889750139019,205.695423629144,1,1283986938.47656,2021-05-01 01:51:34.800,59335.07748611111
0.0768185982317816,0.000618278077245315,0.0768169394851169,0.000356955306416837,282.079662512223,0.00138949355080822,-1.67906030633281,0.00138889695149329,193.293494415603,1,1283986938.47656,2021-05-07 02:36:43.700,59341.108839120374
0.0801118592417909,0.000449651430415631,0.0801110179747143,0.000259603648225106,282.079816427586,0.00138949023553213,-1.67899820461023,0.00138889368174967,290.637435230817,1,1283986938.47656,2021-05-15 22:04:22.500,59349.91970486111
0.0789906580088284,0.000692875650615451,0.0789886321293159,0.00040002168374759,282.079692971448,0.00138949630988976,-1.67907776977168,0.00138889969699671,179.97018331551,1,1283986938.47656,2021-05-22 00:46:34.800,59356.03234722222
0.0832968615193937,0.000450716505859487,0.0832960485821275,0.000260218756351614,282.079746729834,0.00138949053955674,-1.67912899898369,0.00138889389270458,290.995847642791,1,1283986938.47656,2021-05-27 23:09:48.400,59361.965143518515
0.0803100341696248,0.000457846886345643,0.0803091641091004,0.000264335159301663,282.079681028359,0.00138949067699675,-1.6791468253282,0.00138889401741866,275.83996878336,1,1283986938.47656,2021-06-05 21:45:50.500,59370.90683449074
0.0797954693832766,0.000374893942525977,0.0797948822761421,0.000216443526107508,282.079682303052,0.00138948879854986,-1.67910894611047,0.00138889216668517,330.535112024266,1,1283986938.47656,2021-06-12 22:57:04.900,59377.956306712964
0.0802401002025596,0.00074581812285641,0.0802377894515719,0.000430585893646321,282.079692313195,0.00138949948573185,-1.6791386425903,0.00138890282823658,169.028421163307,1,1283986938.47656,2021-06-19 21:49:50.800,59384.90961574074
0.0773900666534957,0.000379421789796594,0.0773894465872917,0.000219057517324491,282.07966169827,0.00138948873262248,-1.67904727663852,0.00138889214460762,323.712692514055,1,1283986938.47656,2021-06-27 00:48:52.500,59392.03394097222
0.0796008576242145,0.000420644390635541,0.0796001166702908,0.000242856891544639,282.079704360409,0.00138948968788706,-1.67913587778684,0.00138889303650766,296.40944023291,1,1283986938.47656,2021-07-04 21:37:51.900,59399.90129513889
0.0807559285171498,0.000371303185035019,0.0807553594524064,0.00021437048321065,282.079650968039,0.00138948877538574,-1.679049468937,0.00138889218579495,344.879128042904,1,1283986938.47656,2021-07-12 00:27:11.300,59407.018880787036
0.0816238418258549,0.000610206895570801,0.0816223212225317,0.000352296552222973,282.079803561831,0.00138949604632823,-1.67915193388149,0.0013888993808451,218.864312243501,1,1283986938.47656,2021-07-26 16:50:32.200,59421.70176157408
0.080445242190004,0.000387995508004716,0.0804446184095287,0.000224007574000226,282.079731343565,0.00138948936243188,-1.67910952563213,0.00138889272991635,327.884529062683,1,1283986938.47656,2021-07-31 21:33:19.000,59426.89813657408
0.0811235684040748,0.000380619046136228,0.0811229731358064,0.000219748896260849,282.079680494456,0.00138948936276614,-1.67913647338204,0.00138889271110109,337.476848137546,1,1283986938.47656,2021-08-07 21:48:45.700,59433.908862268516
0.0813119818263328,0.000430294518615985,0.0813112228017766,0.000248428337123227,282.079655643617,0.00138949252766801,-1.67909679191929,0.00138889590286025,306.400079474129,1,1283986938.47656,2021-08-15 22:05:45.800,59441.92066898148
