runcat,eta,V,maxFlux,medFlux,avgFlux,coord_datapoints,newSource,RA,RA_err,Dec,Dec_err
1,0.702827073952504,0.0430550949827517,0.00142371424809516,0.00133997810380249,0.001324427685432,25,N,283.030737776346,0.000555641925650714,-3.22988593129431,0.000555641925650714
2,0.36786940924329,0.058066481815702,0.000811824113812693,0.000712463322562118,0.000715487115861784,25,N,283.028762975543,0.000555850389557855,-3.26715055175669,0.000555850389557855
3,1.76865877963828,0.0270509170538862,0.00367291797775553,0.0034812604504995,0.00349568338070581,25,N,282.968588584895,0.000555569915498245,-2.83339166152695,0.000555569915498245
4,8.03607311325174,0.0375557443630825,0.00623580013541988,0.00587281550457361,0.00589834107935828,25,N,282.95733661015,0.000555561893328716,-3.19168465409463,0.000555561893328716
5,0.643572418136924,0.0313398257309914,0.00190443643430183,0.00181405785072806,0.00180860579639652,25,N,282.955767038628,0.000555604441376632,-3.02147818718633,0.000555604441376632
6,1.96309851817092,0.0595620520100637,0.0018753619470297,0.00170394271876521,0.00168853421911803,25,N,282.921724770451,0.000555617876813588,-3.41113220500076,0.000555617876813588
8,3.30731514731418,0.0310987012878531,0.00437836829654386,0.00414478537203619,0.00414576568419421,25,N,282.910097613124,0.000555566628202011,-2.70036068743234,0.000555566628202011
9,7.97857270751444,0.103833829134631,0.00238326504509188,0.0017930160702405,0.00185041140435514,25,N,282.888228451813,0.000555605708388687,-3.24407415394387,0.000555605708388687
10,4.53487066121663,0.0388417627732056,0.00402182420878247,0.00367382881775615,0.00370911903830979,25,N,282.870174647258,0.000555567597012377,-3.46436817399974,0.000555567597012377
11,0.761244602471195,0.0223743021259592,0.00262173923695124,0.00250594012612526,0.00250744986788824,25,N,282.871565534262,0.000555580846092887,-2.90847815512632,0.000555580846092887
12,21.6657592074405,0.0526056893497292,0.00894953510564851,0.00792229331281983,0.00800329988688924,25,N,282.837361765202,0.000555560710389088,-3.5466342854114,0.000555560710389088
13,1.04822210792257,0.0544414708107591,0.00130271471773503,0.00119778022514237,0.00119323349627348,25,N,282.834679981246,0.000555666840912151,-2.87983340318735,0.000555666840912151
14,13.4141131970418,0.0745946205676411,0.00405699372895706,0.00345250150367386,0.00347536080612433,25,N,282.821251374663,0.000555571268559394,-2.86555554816399,0.000555571268559394
15,9.667799739255,0.142936727571594,0.00220343921173124,0.00155334902518688,0.00163532415909402,2,N,282.815982639312,0.00196490225927544,-2.8711601437353,0.00196490225927544
16,0.315727196746724,0.079497246688467,0.000684565795729067,0.000541678705974362,0.000546930325843001,25,N,282.799781412015,0.000556077968612296,-2.80173996525046,0.000556077968612296
17,4.98701694286167,0.057284361336842,0.0030689822406669,0.00277821631624859,0.0027895718205542,25,N,282.782728148129,0.000555583122406603,-2.58529716491021,0.000555583122406603
18,47.8213059797604,0.38541854601519,0.00265744468705972,0.00110429296476329,0.00136368848683699,10,N,282.764664962472,0.000878607221366898,-2.58212938945692,0.000878607221366898
