,runcat,date_obs,medianFlux(mJy),eta,V,maxFlux,medFlux,avgFlux,coord_datapoints,newSource,RA_y,RA_err,Dec_y,Dec_err,Notes
140,349,2021-06-19T21:13:27.901,0.697455228732994,2.93974133212997,0.101428286936939,0.0008836073978778,0.0006974552287329,0.0007208235398785,21,N,236.700746651281,0.0003034700069591,-47.9324452726025,0.0003034700069591,
142,581,2021-10-17T10:56:15.001,4.65787457996404,29.749002726996,0.0459288763737817,0.005058908196941,0.004657874579964,0.0046352419623011,21,N,235.883675165798,0.000303089133678,-47.3777943526007,0.000303089133678,extended?
143,853,2021-09-27T12:41:55.424,0.16145854849886498,12.2767118800957,0.756220387426792,0.0004347122456661,0.0001614585484988,0.0001814501288153,2,230.0,236.786970650176,0.0009848008998243,-47.6715060714928,0.0009848008998243,jet/BH
145,562,2021-10-17T10:56:15.001,4.19614648016325,8.25461981688054,0.0433985520305868,0.0045323536535779,0.0041961464801632,0.0042149467695904,21,N,236.044866394884,0.0003030981740191,-47.5520273338705,0.0003030981740191,marginal
146,512,2021-08-07T19:26:41.326,4.308573279139971,5.70490098786443,0.0265688898751381,0.0044478713818352,0.0043085732791399,0.0042884855954771,21,N,236.270910188754,0.0003030935396334,-47.2444858192333,0.0003030935396334,ext?
148,34,2021-07-31T19:37:45.994,1.3095901765751001,3.06624840542114,0.0488786795481943,0.0014411848692696,0.0013095901765751,0.001329306246175,21,N,237.774166651037,0.0003033420778602,-47.166417465364,0.0003033420778602,
149,29,2021-07-31T19:37:45.994,2.5909615457941,8.26980911503901,0.0371160187373319,0.0028152625173113,0.0025909615457941,0.0025854156519365,21,N,237.81614316405,0.000303096986984,-47.7315426164669,0.000303096986984,
150,241,2021-10-23T11:11:17.559,5.80542914870471,21.4039709036935,0.0298041060613939,0.0061343952509525,0.0058054291487047,0.005808083682281,21,N,236.974224776572,0.0003030850604057,-48.0851389025155,0.0003030850604057,
151,279,2021-10-23T11:11:17.559,4.082347649912539,11.5860229944968,0.0425830922918827,0.0042632191661433,0.0040823476499125,0.0040191243497224,21,N,236.907626647043,0.0003030955406232,-47.146626258997,0.0003030955406232,
153,112,2021-10-31T13:11:42.930,8.01426724931578,83.0277829566,0.0557816172930981,0.0085091010339911,0.0080142672493157,0.0078862305697547,21,N,237.412516519424,0.0003030839615787,-47.3236452136121,0.0003030839615787,
155,12,2021-07-31T19:37:45.994,0.562665113930343,1.40810293758558,0.0708725457703406,0.0006437263927975,0.0005626651139303,0.0005563981143292,21,N,237.945949644649,0.0003034304000337,-47.9449375780079,0.0003034304000337,
156,146,2021-06-19T21:13:27.901,0.139250092372937,0.657512564806486,0.1784554721543,0.0002065481332046,0.0001392500923729,0.0001457326070336,8,N,237.317989087171,0.0004958176409351,-48.0681816637275,0.0004958176409351,marginal
157,609,2021-10-17T10:56:15.001,0.5676101364922419,4.10638400733365,0.128996623668008,0.0006659678188464,0.0005676101364922,0.0005552080942047,21,N,235.626957372677,0.0003035386373405,-47.4677092524577,0.0003035386373405,
158,439,2021-07-31T19:37:45.994,3.99886636364639,31.7981139471564,0.0579292913795453,0.0045104571114486,0.0039988663636463,0.004097953797575,21,N,236.500983520819,0.0003030965601353,-47.8791950252348,0.0003030965601353,Volunteer-fave
160,586,2021-09-05T16:43:49.936,0.698758063233744,0.881572376389222,0.0507491452864284,0.0007655126517525,0.0006987580632337,0.0006980490159527,21,N,235.831360809827,0.0003033674419089,-47.5156905177175,0.0003033674419089,
161,163,2021-10-23T11:11:17.559,5.67110343123667,23.612436881873,0.0292934788133225,0.0060300309998215,0.0056711034312366,0.0057617252434503,21,N,237.243950065433,0.0003030841933626,-48.086257390235,0.0003030841933626,weird
162,156,2021-10-31T13:11:42.930,0.510590289423696,6.44447349460946,0.199126800444578,0.0006859849030339,0.0005105902894236,0.0005096699185036,21,N,237.260723661442,0.0003038642018147,-47.2166612971459,0.0003038642018147,
163,170,2021-07-31T19:37:45.994,4.04484378991447,2.88063604197761,0.0160576117551216,0.0041686829297821,0.0040448437899144,0.0040487437653955,21,N,237.207090393132,0.0003030891695721,-47.7119037956575,0.0003030891695721,
164,607,2021-10-04T14:11:58.438,0.935811773811367,2.74021790573008,0.064534593815695,0.0010416329261821,0.0009358117738113,0.0009334610440227,21,N,235.649923809847,0.0003032227295658,-47.5754812440553,0.0003032227295658,
165,620,2021-10-31T13:11:42.930,1.94310356105225,18.8998936900225,0.0768609385599761,0.0023186307410784,0.0019431035610522,0.0019695030683393,21,N,235.481793120444,0.0003031154702659,-47.8154830030997,0.0003031154702659,
170,89,2019-09-07T16:28:33.600,1.0179986668629402,9528.87466732601,1.53333528334203,0.0347332259215004,0.0010179986668629,0.0072678270978095,16,N,282.32123067513,0.0006947516145029,-3.06544263782755,0.0006947516145029,EXO itself
171,87,2019-11-30T11:33:06.200,74.9227087782017,11.6545869630562,0.0192186638604463,0.0778758765211121,0.0749227087782017,0.0749873064942011,25,N,282.314897762168,0.0005555565789686,-2.9904450448446,0.0005555565789686,too good to be true
173,4,2020-04-10T07:24:45.800,5.872815504573611,8.03607311325174,0.0375557443630825,0.0062358001354198,0.0058728155045736,0.0058983410793582,25,N,282.95733661015,0.0005555618933287,-3.19168465409463,0.0005555618933287,
176,360,2019-08-31T18:34:59.300,0.6572073041352111,28.9205004052018,0.468081074440619,0.0017731411704231,0.0006572073041352,0.0007798890213563,18,N,282.920092168086,0.0006550857414309,-3.41453804934142,0.0006550857414309,3 datapoints?
178,26,2019-11-30T11:33:06.200,6.7066082714136,7.55861972316218,0.0293029261385609,0.0069965952066538,0.0067066082714136,0.0066788892355359,25,N,282.731786532061,0.000555560089001,-2.53295886132626,0.000555560089001,
179,130,2019-10-19T15:22:38.100,37.6009916596775,8.13565218721775,0.0141563086361247,0.0393935435770346,0.0376009916596775,0.0376489752216201,25,N,282.106890864693,0.0005555563239041,-3.35244923405085,0.0005555563239041,
181,282,2019-12-07T08:29:00.500,3.61573635956091,54.5255434186735,0.317805210118643,0.0050907011031197,0.0036157363595609,0.0034553799144088,20,114.0,282.174899646058,0.0006212307827274,-2.84141621426961,0.0006212307827274,EXO itself
182,59,2020-04-10T07:24:45.800,0.776066356410829,3.21394817628074,0.207410544706551,0.0011961203014348,0.0007760663564108,0.0007881275680849,24,N,282.491130621611,0.0005675707814239,-3.29235507315285,0.0005675707814239,unsure
185,82,2019-09-07T16:28:33.600,13.7890256031871,9.92349922433278,0.0296897485827097,0.0150704456837061,0.0137890256031871,0.0137310052391151,25,N,282.35523310622,0.0005555580358883,-3.72775458230938,0.0005555580358883,too good to be true
189,1932,2018-09-21T16:19:23.900,0.424490070905778,146.349746689296,1.09025733262178,0.0021567675331314,0.0004244900709057,0.0007224974815287,5,N,266.565046618218,0.0012432268027654,-32.2340372181945,0.0012432268027654,H1743 itself
194,2045,2018-10-27T12:09:06.800,0.6086876028407505,1.4787945621065,0.21783785662445,0.0009465534054767,0.0006086876028407,0.0006709701103502,9,N,266.151018836945,0.0009266215013916,-32.5642291693369,0.0009266215013916,
208,2224,2018-10-19T14:03:57.000,0.18470131300783296,26.7533736107188,1.17668765412325,0.0006008513699475,0.0001847013130078,0.0002393058941555,2,509.0,266.670903473664,0.0019657575052994,-32.2343140645609,0.0019657575052994,flare star
211,1975,2018-10-27T12:09:06.800,0.7833806650825424,1.55805495918728,0.121042921882457,0.0010030872318786,0.0007833806650825,0.0008179849430357,10,N,266.760779771342,0.0008792104634265,-32.828286154203,0.0008792104634265,marginal
218,2038,2018-09-28T17:03:41.600,0.9762249125148095,6.72011570332511,0.232900325094493,0.001241426220126,0.0009762249125148,0.0009325908797611,10,N,266.126744686386,0.0008791739634846,-32.0603795403389,0.0008791739634846,
226,1674,2019-08-05T18:30:43.600,2.07585312887584,8.85137862367805,0.0507279831596902,0.0024023740137628,0.0020758531288758,0.0020975101466161,25,N,284.523147574055,0.0005555657990329,-9.10580138042811,0.0005555657990329,
228,1675,2019-08-05T18:30:43.600,3.32379064417446,6.43385453430191,0.0301806389248816,0.0035091523110002,0.0033237906441744,0.0033086538386914,25,N,284.524401497588,0.0005555615731936,-7.90679153556052,0.0005555615731936,
231,2007,2019-08-05T18:30:43.600,2.43586216273839,8.07403321740568,0.0423550768090329,0.002773089627175,0.0024358621627383,0.0024648521887042,25,N,284.260386068645,0.0005555625714129,-8.21101711822868,0.0005555625714129,
236,1917,2019-08-05T18:30:43.600,0.818177225243132,9.2111255431964,0.107485818924801,0.0010221168274401,0.0008181772252431,0.0008517128236349,25,N,285.144303407984,0.000555612587812,-8.77413601953743,0.000555612587812,
238,1536,2019-08-05T18:30:43.600,0.900203319125571,4.20083350019232,0.0780144078399496,0.001038790570343,0.0009002033191255,0.0008977382636926,25,N,283.910265763967,0.0005556171749394,-8.29515711468575,0.0005556171749394,possible
240,1679,2019-08-05T18:30:43.600,3.1036391414168003,14.8552487398077,0.0417037918169668,0.003429000440875,0.0031036391414168,0.0031358170933957,25,N,284.531373699812,0.0005555608667899,-8.70642864414066,0.0005555608667899,
241,1649,2019-08-05T18:30:43.600,5.5794769573706,16.9183455984156,0.0249364893797919,0.0058427850058089,0.0055794769573706,0.0055588116734179,25,N,284.48333216137,0.0005555577409375,-8.14791692827388,0.0005555577409375,maybe
244,1763,2019-08-05T18:30:43.600,0.606304540139634,0.968476497784468,0.0656432082553361,0.0006891627090335,0.0006063045401396,0.0006105497826955,25,N,284.696323407914,0.0005557121944404,-7.77204010266064,0.0005557121944404,maybe
250,1610,2019-08-05T18:30:43.600,0.40536732972349604,1.13830237169689,0.0797219658758517,0.0004794669108967,0.0004053673297234,0.0003974979945891,25,N,284.412488341453,0.0005558505992088,-7.65822887533689,0.0005558505992088,
255,2067,2019-08-05T18:30:43.600,0.320733598362664,0.72880197285871,0.105050020791962,0.0003622131447229,0.0003207335983626,0.0003154455448904,25,N,284.789053138229,0.0005561130308856,-8.39102865036249,0.0005561130308856,
262,1937,2019-08-05T18:30:43.600,1.54744307754604,5.45801082571869,0.0515185868513612,0.001629021132521,0.001547443077546,0.0015038489838493,25,N,285.19397811349,0.0005555782388924,-8.34631921332818,0.0005555782388924,
266,1707,2019-08-05T18:30:43.600,3.3088608690262196,30.6645044181377,0.0469689494843008,0.0037718369243904,0.0033088608690262,0.0033103202808883,25,N,284.574479707231,0.0005555609129654,-8.07800229375137,0.0005555609129654,
267,1792,2019-08-05T18:30:43.600,1.0528176069368302,55.477265714557,0.231169310913583,0.001655259561853,0.0010528176069368,0.0011888888716853,25,N,284.858354983792,0.0005555922411688,-7.6088009777352,0.0005555922411688,we have spectrum
272,1737,2019-08-05T18:30:43.600,2.32668571597759,21.8202120481764,0.0547068324234296,0.0026614817240152,0.0023266857159775,0.0023385524343098,25,N,284.622565342948,0.0005555650191355,-8.37895024403585,0.0005555650191355,
273,1899,2019-08-05T18:30:43.600,0.525447125136705,5.08882196729391,0.138734338114692,0.0007068616794747,0.0005254471251367,0.0005434173243737,25,N,285.089681627066,0.0005556993986578,-8.98780255042573,0.0005556993986578,?
274,1627,2019-08-05T18:30:43.600,1.84043927700875,12.4574351442861,0.062845377060807,0.0021828353751992,0.0018404392770087,0.0018549271149201,25,N,284.444279336105,0.0005555720169865,-8.6106924045345,0.0005555720169865,
279,2100,2019-08-05T18:30:43.600,1.15872961213744,6.56533661319965,0.0725913071775069,0.0013185039522674,0.0011587296121374,0.001175632999763,25,N,285.35772170924,0.0005555885270163,-8.16140032696583,0.0005555885270163,
280,2066,2019-08-05T18:30:43.600,1.14203022118759,2.34569914598501,0.0478804736945728,0.0012738137690168,0.0011420302211875,0.0011534255243175,25,N,284.783397563903,0.0005555954915507,-8.85291925068265,0.0005555954915507,possibly extended
282,2086,2019-08-05T18:30:43.600,1.12012464348587,6.65897124461382,0.0719552412582932,0.0012498067742391,0.0011201246434858,0.0011195942393893,25,N,284.820054304132,0.000555596905529,-8.05709243126434,0.000555596905529,
283,1868,2019-08-05T18:30:43.600,2.2731992534422605,21.6458865728023,0.0686263854620665,0.0026171717174603,0.0022731992534422,0.0022907439556398,25,N,284.999607785982,0.000555566801396,-8.12027433347069,0.000555566801396,
285,1877,2019-08-05T18:30:43.600,0.5114243003677941,2.91366159622835,0.122060073924182,0.0006165049490491,0.0005114243003677,0.0005221300947405,25,N,285.019343110767,0.0005557661032109,-8.57038557675822,0.0005557661032109,marginal
286,1802,2019-08-05T18:30:43.600,0.6683616616076651,4.98907252194162,0.133343221454752,0.0007448453228461,0.0006683616616076,0.0006300273196054,25,N,284.876816233055,0.0005557038491218,-8.09065382130549,0.0005557038491218,
290,2080,2019-08-05T18:30:43.600,1.9089438312158,8.43677936216382,0.0588785683105708,0.0021696308484457,0.0019089438312158,0.0019666372196514,25,N,284.811628532376,0.0005555720295254,-8.67250459740723,0.0005555720295254,possible
293,1752,2019-08-05T18:30:43.600,1.76393622251332,2.10462889386868,0.0290938914032936,0.0018847822748857,0.0017639362225133,0.0017660504413507,25,N,284.676443077532,0.0005555710083182,-8.69539334098807,0.0005555710083182,maybe
294,1628,2019-08-05T18:30:43.600,2.88754747675222,14.2769993202501,0.0503206837617205,0.0032912145867653,0.0028875474767522,0.0028819132080563,25,N,284.447628111189,0.000555561938466,-7.5984308799438,0.000555561938466,
296,1800,2019-08-05T18:30:43.600,8.978606111783849,102.970466036345,0.0484497618220667,0.0095079961443638,0.0089786061117838,0.0088949258297712,25,N,284.8714154773,0.0005555564246716,-8.07338005545796,0.0005555564246716,
297,2076,2019-08-05T18:30:43.600,1.8035756864534,1.91060835537102,0.0288673243278319,0.0018837760835379,0.0018035756864534,0.0017924589436731,25,N,284.800015742446,0.0005555732208656,-7.90444208797823,0.0005555732208656,
299,1768,2019-08-05T18:30:43.600,3.30845507479659,15.3313956346427,0.0321793298937253,0.0035903237292687,0.0033084550747965,0.003317221691195,25,N,284.707626774985,0.0005555601120947,-8.1281715859636,0.0005555601120947,like 1707
302,2036,2019-08-05T18:30:43.600,0.46352614700823097,2.43434058500299,0.114438852701589,0.0005683464675849,0.0004635261470082,0.0004543442284834,25,N,284.340665454618,0.0005557997983289,-7.90373337366671,0.0005557997983289,
304,1734,2019-08-05T18:30:43.600,1.70455800030499,3.42318372079806,0.0369996553979953,0.0017996658625949,0.0017045580003049,0.0016901467355842,25,N,284.619340174065,0.0005555764567487,-7.95647421691945,0.0005555764567487,
309,132,2019-11-17T00:00:00.000,1.9984349503665302,2.93119925798097,0.0654491223126089,0.0024063177812293,0.0019984349503665,0.0020260224401894,51,N,207.307524719255,0.0001945329627753,-62.9222248237033,0.0001945329627753,
310,100,2019-04-09T00:00:00.000,20.8931353929998,50.9351860536114,0.0369670589033365,0.0229255384252978,0.0208931353929998,0.0208858452144751,51,N,207.569213841993,0.0001944843032608,-63.6757695474557,0.0001944843032608,too good to be true
312,431,2019-04-09T00:00:00.000,0.16511343677463702,434.877055145431,1.7248801085771,0.0071942959684036,0.0001651134367746,0.0009270566309065,4,52.0,207.055340736473,0.000694701800057,-63.2733175113546,0.000694701800057,J1348 itself
314,183,2019-02-01T00:00:00.000,0.512872167737785,2936.57129325636,1.88454392346813,0.0285687652096187,0.0005128721677377,0.0027693755476392,26,N,207.053694593988,0.0002730900302444,-63.2744001235509,0.0002730900302444,MAXIJ1348 itself
315,53,2019-03-01T00:00:00.000,2.3144575391597,3.67505665257343,0.068498126819929,0.0028608111009451,0.0023144575391597,0.0023496718894485,51,N,207.99342988186,0.0001946009015962,-63.6924334532652,0.0001946009015962,marginal
316,397,2018-10-14T15:16:00.800,4.2341766314900005,434.716190310594,0.24217530050554,0.0049356223023575,0.00423417663149,0.0040742861115238,73,N,274.54843653369,0.0001625623362122,7.18784026047621,0.0001625623362122,
318,191,2018-10-14T15:16:00.800,7.950203339746701,487.86749721493,0.242064660915943,0.0088016876017689,0.0079502033397467,0.0075497533233815,73,N,275.167593820984,0.0001625598806236,7.80432911670379,0.0001625598806236,Need to zoom
319,1380,2018-10-14T15:16:00.800,0.202451536595935,1.40203442621715,0.289875356271935,0.0002759432144172,0.0002024515365959,0.0001933283316863,50,915.0,274.869195165531,0.0001981380873557,6.91163308654569,0.0001981380873557,
320,409,2018-10-14T15:16:00.800,1.32113931718723,81.4751615564828,0.25683253989695,0.0016406262432591,0.0013211393171872,0.0012527018353174,73,N,274.508572640555,0.0001625964520646,7.81115923139338,0.0001625964520646,
322,213,2018-10-14T15:16:00.800,0.679080968721945,22.4859816441419,0.261300438713728,0.000845762389496,0.0006790809687219,0.0006552557437353,73,N,275.120353324888,0.000162726258986,6.69828321680652,0.000162726258986,
323,1422,2018-10-14T15:16:00.800,0.2301852150173195,3.35663688194466,0.396269551674155,0.0003694305474108,0.0002301852150173,0.0002183553073423,51,873.0,274.919367063391,0.0001960910999355,6.67324018425516,0.0001960910999355,
