runcat,Field,t/v,Extended?,Notes
643,SAXJ1808,0,0,marginal - only in 3?
740,MAXIJ1803,0,0,
750,4U1543,0,0,
776,MAXIJ1820,1,0,
853,4U1543,1,0,jet/BH
861,4U1543,0,0,
868,4U1543,0,0,
886,MAXIJ1803,0,0,
911,MAXIJ1803,0,0,
973,MAXIJ1803,0,0,
1061,MAXIJ1820,0,0,
1154,MAXIJ1820,0,0,
1190,MAXIJ1820,1,0,
1317,MAXIJ1820,0,0,
1380,MAXIJ1820,1,0,
1422,MAXIJ1820,1,0,
1514,J1858,0,0,
1532,J1858,0,0,
1534,J1858,0,1,cal
1536,J1858,1,0,possible
1542,J1858,0,0,
1548,J1858,0,0,cal
1564,J1858,0,1,cal
1567,J1858,0,1,cal
1573,J1858,0,0,cal
1588,J1858,0,1,cal
1596,J1858,0,0,cal
1599,J1858,0,0,cal
1607,J1858,0,0,
1610,J1858,1,0,
1627,J1858,1,0,
1628,J1858,1,0,
1642,J1858,0,0,
1649,J1858,1,0,maybe
1674,J1858,1,0,
1675,J1858,1,0,
1679,J1858,1,0,
1707,J1858,1,0,
1729,MAXIJ1820,0,0,artefact
1734,J1858,1,0,
1737,J1858,1,0,
1752,J1858,1,0,maybe
1763,J1858,1,0,maybe
1768,J1858,1,0,like 1707
1771,J1858,0,1,
1778,J1858,0,1,
1792,J1858,1,0,we have spectrum
1800,J1858,1,0,
1802,J1858,1,0,
1806,MAXIJ1820,0,0,artefact??
1807,J1858,0,0,
1812,MAXIJ1820,0,0,artefact??
1813,MAXIJ1820,0,0,artefact
1825,J1858,0,0,
1833,J1858,0,0,
1837,J1858,0,0,cal
1857,J1858,0,0,
1860,J1858,0,1,
1868,J1858,1,0,
1870,H1743,0,0,
1877,J1858,1,0,marginal
1880,J1858,0,0,
1884,J1858,0,0,
1885,H1743,0,0,
1894,H1743,0,0,
1896,J1858,0,0,
1897,H1743,0,1,
1897,J1858,0,0,
1898,H1743,0,1,
1899,J1858,1,0,?
1910,J1858,0,1,
1917,H1743,0,0,
1917,J1858,1,0,
1918,J1858,0,0,
1920,J1858,0,1,
1921,H1743,0,0,
1923,J1858,0,0,
1926,H1743,0,0,cal
1927,H1743,0,1,cal
1929,H1743,0,0,cal
1931,J1858,0,0,too good to be true
1932,H1743,1,0,H1743 itself
1935,J1858,0,0,cal
1937,J1858,1,0,
1953,J1858,0,0,
1954,J1858,0,0,too good to be true
1965,H1743,0,1,
1973,H1743,0,0,cal
1975,H1743,1,0,marginal
1982,H1743,0,0,cal
1991,H1743,0,0,cal
1993,J1858,0,1,
1994,H1743,0,1,
2004,H1743,0,0,cal
2007,J1858,1,0,
2010,H1743,0,0,cal
2011,H1743,0,0,cal
2014,J1858,0,0,cal
2016,H1743,0,0,cal
2019,H1743,0,0,cal
2020,H1743,0,0,cal
2023,J1858,0,0,
2025,H1743,0,0,cal
2027,H1743,0,1,?
2027,J1858,0,0,cal
2029,J1858,0,0,
2036,H1743,0,0,cal
2036,J1858,1,0,
2038,H1743,1,0,
2045,H1743,1,0,
2066,J1858,1,0,possibly extended
2067,J1858,1,0,
2071,J1858,0,0,cal
2073,H1743,0,0,cal
2073,J1858,0,0,
2076,J1858,1,0,
2078,J1858,0,1,
2080,J1858,1,0,possible
2085,J1858,0,1,
2086,J1858,1,0,
2089,H1743,0,0,
2094,H1743,0,0,
2095,J1858,0,1,
2099,J1858,0,1,
2100,J1858,1,0,
2107,J1858,0,0,cal
2108,J1858,0,0,
2114,J1858,0,0,cal
2115,J1858,0,0,
2122,J1858,0,1,cal
2123,J1858,0,0,cal
2125,J1858,0,0,
2127,H1743,0,0,cal
2127,J1858,0,0,
2129,H1743,0,0,cal
2132,H1743,0,1,
2135,H1743,0,0,cal
2136,H1743,0,0,cal
2144,H1743,0,0,
2145,H1743,0,0,cal
2149,H1743,0,0,cal
2224,H1743,1,0,flare star
2557,J1858,0,0,faint
2898,GRS1915,0,0,
3023,GRS1915,0,0,
3049,GRS1915,1,0,
3111,GRS1915,0,0,
3160,GRS1915,0,0,
3166,GRS1915,0,0,
3169,GRS1915,1,0,GRS1915 iteslf
3200,GRS1915,0,0,
3245,GRS1915,0,1,
3265,GRS1915,0,1,
3305,GRS1915,1,0,marginal
3315,GRS1915,0,1,group of 3
3352,GRS1915,1,0,
10128,GX339,1,0,notL
10204,GX339,1,0,L
10209,GX339,1,0,L
10239,GX339,1,0,L
10264,GX339,1,0,L
10266,GX339,1,0,L
10275,GX339,1,0,notL
10280,GX339,1,0,L
10317,GX339,1,0,L
10341,GX339,1,0,notL
10371,GX339,0,0,notL
10426,GX339,0,0,notL
10449,GX339,1,0,L
10486,GX339,1,0,L
10494,GX339,0,0,notL
10507,GX339,0,0,notL
10525,GX339,0,1,notL
10609,GX339,1,0,L
10649,GX339,0,0,notL
10658,GX339,0,1,notL
10664,GX339,1,0,notL
10677,GX339,0,1,notL
10736,GX339,1,0,GX339 itself
