,RA,DEC,Sep(arcsec),mag_q,err_mag_q
124,274.8691952,6.911633087,0,23.22134513,99
125,274.5085726,7.811159231,0,22.14948004,99
126,274.9193671,6.673240184,0,23.20006102,99
127,274.7734568,7.007261768,0,20.31098479,0.064017035
128,275.1675938,7.804329117,0,22.16305274,99
129,275.1203533,6.698283217,0,23.20217436,99
130,284.4442793,-8.610692405,0,22.55174368,99
131,284.8200543,-8.057092431,0,21.02942198,99
132,284.7076268,-8.128171586,0,20.96783942,99
133,275.5111815,7.878214204,0,18.27657424,0.019834992
134,275.165843,7.05631079,0,23.15318984,99
135,275.1098526,6.915039723,0,19.23015512,0.023606512
136,274.7265627,7.523046674,0,23.01540488,99
137,275.1049862,7.526429594,0,19.83962884,0.038997429
138,274.707287,6.479065725,0,22.85946005,99
139,274.8194729,6.76604382,0,23.23683089,99
140,274.3724332,7.32672098,0,22.95297927,99
141,274.7477984,7.214106942,0,22.80274695,99
142,275.7165157,7.628621612,0.416645345,19.12017059,0.036389813
143,275.1657323,7.145264657,0,23.32615775,99
144,282.9573366,-3.191684654,0,22.27003974,99
145,282.9200922,-3.414538049,0,22.04877394,99
146,282.7317865,-2.532958861,0,22.06607932,99
147,282.1068909,-3.352449234,0,21.26519507,99
148,282.1748996,-2.841416214,0,22.24450987,99
149,282.4911306,-3.292355073,0,22.26493567,99
150,282.3552331,-3.727754582,0,21.60219115,99
151,270.8986357,-29.29266859,0,21.94191664,99
152,283.9102658,-8.295157115,0,22.92182463,99
153,284.2603861,-8.211017118,1.255438202,18.59082985,0.017256148
154,284.5313737,-8.706428644,0,22.66099661,99
155,284.4833322,-8.147916928,0,16.52794702,0.009237049
156,284.6963234,-7.772040103,0,21.0183956,99
157,284.4124883,-7.658228875,0,16.87680258,0.011871841
158,284.7890531,-8.39102865,0,15.96690007,0.005591604
159,285.1939781,-8.346319213,0,21.47970885,99
160,284.5744797,-8.078002294,0,20.93636626,99
161,284.858355,-7.608800978,0,21.02484435,99
162,284.6225653,-8.378950244,0,22.65483206,99
163,285.0896816,-8.98780255,0,15.14293791,0.003501551
164,285.3577217,-8.161400327,0,0,0
165,285.0193431,-8.570385577,0,21.46989936,99
166,284.4476281,-7.59843088,0,21.03908461,99
167,284.8714155,-8.073380055,0.949427465,18.699543,0.048140768
168,274.8600169,7.797899312,0.729876214,20.60869789,0.099174149
169,274.5111968,7.212532155,0,22.92400664,99
