RA,DEC,Halpha,err_Halpha,Distance,xi,err_xi,sm,err_sm,m,err_m,t0,err_t0,rms1yr,err_rms1yr,theta_r,err_theta_r,nu0,fzero
271.3738103,-30.12010987,11.0859375,1.375,3.309903376,73.70714805,5.48518309,0.002252987,0.00027944,0.238504621,0.005916394,0.455726206,0.033914508,0.238504621,0.005916394,8.07E-08,3.44E-07,16.05998167,1.09E-09
270.4241909,-29.80091763,15.0625,1.7734375,4.144899713,99.13653465,7.003317759,0.00306114,0.000360414,0.216067156,0.005087889,0.685926348,0.048456003,0.216067156,0.005087889,9.70E-08,3.92E-07,19.11899775,9.78E-10
271.2248743,-29.74007238,16.59375,1.921875,3.553392716,97.28071762,6.76018571,0.003372335,0.000390581,0.217432476,0.005036572,0.623210996,0.043307884,0.217432476,0.005036572,1.03E-07,4.09E-07,18.90764774,1.06E-09
270.6871816,-30.53360997,12.2890625,1.4921875,3.570115677,81.43120346,5.932623264,0.002497497,0.000303256,0.230711751,0.00560279,0.522900112,0.038095585,0.230711751,0.00560279,8.58E-08,3.58E-07,17.02960642,1.05E-09
271.0286188,-30.29301344,14.60546875,1.7265625,3.450423049,88.79407007,6.297991087,0.002968258,0.000350888,0.224149967,0.005299507,0.560540342,0.039758039,0.224149967,0.005299507,9.52E-08,3.87E-07,17.91918242,1.07E-09
270.9336913,-29.95093197,18.5234375,2.125,3.660154372,105.4681035,7.25955091,0.003764504,0.000431862,0.211653906,0.004856167,0.685736989,0.047200456,0.211653906,0.004856167,1.10E-07,4.33E-07,19.82810576,1.04E-09
270.6807347,-29.46648135,15.18359375,1.7890625,4.109256579,99.18473145,7.012083122,0.00308575,0.00036359,0.216032152,0.005090956,0.683302783,0.048307596,0.216032152,0.005090956,9.74E-08,3.95E-07,19.12446541,9.82E-10
270.6991991,-29.56133492,14.8203125,1.75,4.039282643,96.91812365,6.866524117,0.003011921,0.000355651,0.217703294,0.005141333,0.661978458,0.04690032,0.217703294,0.005141333,9.60E-08,3.90E-07,18.86615966,9.91E-10
271.3827551,-30.41134381,23.609375,2.625,3.200852852,114.0832925,7.610586849,0.004798116,0.000533477,0.206186069,0.004584945,0.693651994,0.046274074,0.206186069,0.004584945,1.27E-07,4.85E-07,20.76541407,1.11E-09
271.4240265,-30.14367313,12.1171875,1.4765625,3.272646879,77.30883482,5.652367961,0.002462567,0.000300081,0.234741725,0.005720979,0.475297401,0.034750954,0.234741725,0.005720979,8.51E-08,3.57E-07,16.51707045,1.10E-09
270.5390173,-29.63708528,16.1875,1.890625,4.137338495,103.4205558,7.247425616,0.003289773,0.00038423,0.213041582,0.004976454,0.714914544,0.050099228,0.213041582,0.004976454,1.01E-07,4.07E-07,19.60075682,9.79E-10
270.5591858,-29.46673258,14.0859375,1.6796875,4.220552292,96.09362789,6.875251758,0.002862674,0.000341362,0.218324163,0.005206844,0.670912635,0.048002072,0.218324163,0.005206844,9.31E-08,3.82E-07,18.77158385,9.69E-10
271.1674781,-29.18879834,23.734375,2.640625,3.850668839,125.5258699,8.379408901,0.004823519,0.000536652,0.19972032,0.004444073,0.837120665,0.05588152,0.19972032,0.004444073,1.27E-07,4.87E-07,21.96640227,1.01E-09
270.7616169,-29.83014454,16.921875,1.9609375,3.845647696,102.398197,7.119653078,0.00343902,0.00039852,0.213748248,0.004953907,0.682438933,0.047449356,0.213748248,0.004953907,1.04E-07,4.14E-07,19.48654578,1.02E-09
270.3993037,-29.92256564,16.25,1.890625,4.09633913,103.1450705,7.200319452,0.003302475,0.00038423,0.213231081,0.004961723,0.70946858,0.049526365,0.213231081,0.004961723,1.01E-07,4.06E-07,19.57002659,9.84E-10
270.8326195,-29.28893709,20.953125,2.359375,4.076075835,119.8419497,8.096704535,0.004258288,0.000479494,0.202829153,0.004567815,0.822274328,0.055554105,0.202829153,0.004567815,1.18E-07,4.58E-07,21.37573684,9.86E-10
271.5452265,-30.14062751,11.890625,1.453125,3.20672325,75.66447315,5.548065413,0.002416523,0.000295317,0.236430044,0.005778711,0.460478641,0.033764401,0.236430044,0.005778711,8.41E-08,3.54E-07,16.30949839,1.11E-09
270.6496249,-29.85219427,16.25,1.890625,3.923320607,100.9432829,7.046617736,0.003302475,0.00038423,0.214770284,0.004997539,0.679502505,0.047434503,0.214770284,0.004997539,1.01E-07,4.06E-07,19.32319925,1.01E-09
270.4883133,-30.02194914,14.01953125,1.671875,3.965058268,92.87596619,6.64545776,0.002849179,0.000339774,0.220816854,0.005266627,0.628513875,0.044971402,0.220816854,0.005266627,9.29E-08,3.81E-07,18.39925258,1.00E-09
270.7234769,-29.52491294,15.30078125,1.796875,4.038639508,98.78345138,6.960488714,0.003109566,0.000365178,0.216324281,0.005080887,0.674665463,0.04753834,0.216324281,0.005080887,9.79E-08,3.95E-07,19.07891267,9.91E-10
270.3692862,-29.51080652,11.109375,1.3828125,4.377988908,84.8769201,6.338910086,0.00225775,0.000281028,0.227546484,0.00566466,0.60355059,0.045075303,0.227546484,0.00566466,8.08E-08,3.46E-07,17.44986556,9.52E-10
270.8986357,-29.29266859,25.15625,2.78125,4.016702473,132.7580455,8.806559364,0.005112485,0.000565231,0.196025717,0.004334482,0.904237304,0.059982952,0.196025717,0.004334482,1.32E-07,5.01E-07,22.70227058,9.94E-10
272.6031626,-36.43384049,35.140625,4.71875,1.744411379,106.9174555,8.614248299,0.007141602,0.000958988,0.210693172,0.005658456,0.479910009,0.038665941,0.210693172,0.005658456,1.61E-07,7.44E-07,19.9879375,1.51E-09
272.5170791,-37.48804927,21.9140625,3.390625,1.658619671,78.53181398,7.290440229,0.004453578,0.000689074,0.233516796,0.007226117,0.343720768,0.031909052,0.233516796,0.007226117,1.21E-07,6.46E-07,16.6702732,1.55E-09
273.0227998,-36.56814267,23.34375,3.53125,1.671683523,81.8875495,7.432364752,0.004744133,0.000717653,0.230282379,0.006967045,0.359816972,0.03265809,0.230282379,0.006967045,1.26E-07,6.56E-07,17.08568002,1.54E-09
271.2483673,-37.24736369,22.5234375,3.453125,1.874093049,84.86231464,7.806273272,0.004577421,0.000701776,0.227559537,0.006977545,0.39481822,0.036318346,0.227559537,0.006977545,1.23E-07,6.51E-07,17.44809979,1.45E-09
272.8599775,-37.1990625,22.6015625,3.453125,1.638415889,79.51216555,7.288844005,0.004593298,0.000701776,0.232553103,0.007106012,0.345885531,0.031707169,0.232553103,0.007106012,1.24E-07,6.50E-07,16.79237467,1.56E-09
272.2068426,-37.40344781,25.4296875,3.75,1.708984077,87.15897371,7.711761982,0.005168056,0.00076211,0.225542971,0.006651959,0.387228982,0.034261736,0.225542971,0.006651959,1.33E-07,6.73E-07,17.72433948,1.52E-09
237.0665765,-48.18377173,14.3359375,2.640625,2.923284889,80.82201607,8.932264772,0.002913482,0.000536652,0.231289956,0.008520546,0.469625844,0.051901977,0.231289956,0.008520546,9.41E-08,5.96E-07,16.95455044,1.16E-09
235.6279589,-47.39795639,13.29296875,2.53125,2.344945675,69.17960317,7.903916856,0.00270152,0.000514424,0.243598146,0.009277202,0.360023788,0.041133484,0.243598146,0.009277202,9.00E-08,5.89E-07,15.47212694,1.30E-09
236.6135937,-47.32234479,15.71484375,2.765625,2.486530002,78.7628403,8.316790774,0.003193716,0.000562056,0.233288256,0.008211189,0.422089899,0.044569665,0.233288256,0.008211189,9.95E-08,6.02E-07,16.6991028,1.26E-09
236.8389448,-47.27321067,14.9375,2.6875,2.510893098,76.77491171,8.287836997,0.003035737,0.000546179,0.23528463,0.00846631,0.413447314,0.044631558,0.23528463,0.00846631,9.65E-08,5.97E-07,16.44987254,1.26E-09
236.7007467,-47.93244527,14.1328125,2.609375,2.72971789,77.43450738,8.578152088,0.002872201,0.000530301,0.234614664,0.008663494,0.434790615,0.048165865,0.234614664,0.008663494,9.33E-08,5.92E-07,16.53285757,1.21E-09
235.8836752,-47.37779435,14.69921875,2.671875,2.379609092,74.02319291,8.073112032,0.002987311,0.000543003,0.238164702,0.008658234,0.388067579,0.042323398,0.238164702,0.008658234,9.56E-08,5.97E-07,16.10045364,1.29E-09
236.7869707,-47.67150607,15.84375,2.78125,2.644942588,81.6321768,8.597945391,0.003219913,0.000565231,0.230522263,0.008093287,0.451186649,0.047521435,0.230522263,0.008093287,1.00E-07,6.03E-07,17.0543163,1.22E-09
236.0448664,-47.55202733,14.640625,2.671875,2.462831357,75.1262289,8.226202161,0.002975403,0.000543003,0.236993337,0.008650131,0.400678154,0.043873618,0.236993337,0.008650131,9.53E-08,5.98E-07,16.24115136,1.27E-09
236.2709102,-47.24448582,14.97265625,2.703125,2.401649606,75.19216895,8.144999889,0.003042882,0.000549354,0.23692404,0.008554731,0.396017313,0.042897565,0.23692404,0.008554731,9.66E-08,6.00E-07,16.24953458,1.29E-09
