subject_id,workflow_id,task,reducer,data.stable,data.unsure,data.extended-blob,data.aggregation_version,data.transient-variable,data.artefact
70785367,19109,T0,question_reducer,4.0,2.0,3.0,3.6.0,,1.0
70785368,19109,T0,question_reducer,6.0,1.0,1.0,3.6.0,2.0,
70785369,19109,T0,question_reducer,7.0,,1.0,3.6.0,,1.0
70785370,19109,T0,question_reducer,7.0,1.0,1.0,3.6.0,,1.0
70785371,19109,T0,question_reducer,1.0,1.0,3.0,3.6.0,,4.0
70785372,19109,T0,question_reducer,7.0,1.0,,3.6.0,2.0,
70785373,19109,T0,question_reducer,,3.0,3.0,3.6.0,2.0,1.0
70785374,19109,T0,question_reducer,6.0,,2.0,3.6.0,2.0,
70785375,19109,T0,question_reducer,7.0,2.0,,3.6.0,,1.0
70785376,19109,T0,question_reducer,6.0,,2.0,3.6.0,1.0,
70785377,19109,T0,question_reducer,4.0,1.0,2.0,3.6.0,,2.0
70785378,19109,T0,question_reducer,2.0,3.0,4.0,3.6.0,1.0,
70785379,19109,T0,question_reducer,3.0,1.0,3.0,3.6.0,,2.0
70785380,19109,T0,question_reducer,6.0,1.0,2.0,3.6.0,1.0,
70785381,19109,T0,question_reducer,6.0,,,3.6.0,2.0,1.0
70785382,19109,T0,question_reducer,1.0,1.0,7.0,3.6.0,,1.0
70785383,19109,T0,question_reducer,5.0,,1.0,3.6.0,2.0,
70785384,19109,T0,question_reducer,4.0,,1.0,3.6.0,5.0,
70785385,19109,T0,question_reducer,5.0,1.0,4.0,3.6.0,,
70785386,19109,T0,question_reducer,7.0,1.0,1.0,3.6.0,,1.0
70785387,19109,T0,question_reducer,5.0,3.0,1.0,3.6.0,,1.0
70785388,19109,T0,question_reducer,5.0,1.0,1.0,3.6.0,2.0,1.0
70785389,19109,T0,question_reducer,5.0,2.0,1.0,3.6.0,,1.0
70785390,19109,T0,question_reducer,4.0,3.0,1.0,3.6.0,1.0,1.0
70785391,19109,T0,question_reducer,4.0,1.0,4.0,3.6.0,1.0,
70785392,19109,T0,question_reducer,6.0,2.0,2.0,3.6.0,,
70785393,19109,T0,question_reducer,7.0,,1.0,3.6.0,2.0,
70785394,19109,T0,question_reducer,5.0,1.0,,3.6.0,2.0,1.0
70785395,19109,T0,question_reducer,6.0,1.0,1.0,3.6.0,1.0,
70785396,19109,T0,question_reducer,6.0,,3.0,3.6.0,1.0,
70785397,19109,T0,question_reducer,7.0,1.0,2.0,3.6.0,,
70785398,19109,T0,question_reducer,3.0,1.0,,3.6.0,6.0,
70785399,19109,T0,question_reducer,6.0,1.0,2.0,3.6.0,1.0,
70785400,19109,T0,question_reducer,5.0,1.0,3.0,3.6.0,1.0,
70785401,19109,T0,question_reducer,2.0,3.0,1.0,3.6.0,4.0,
70785402,19109,T0,question_reducer,5.0,1.0,2.0,3.6.0,1.0,
70785403,19109,T0,question_reducer,1.0,3.0,4.0,3.6.0,,2.0
70785404,19109,T0,question_reducer,1.0,,6.0,3.6.0,1.0,2.0
70785405,19109,T0,question_reducer,7.0,1.0,1.0,3.6.0,,
70785406,19109,T0,question_reducer,4.0,1.0,,3.6.0,2.0,2.0
70785407,19109,T0,question_reducer,1.0,1.0,6.0,3.6.0,1.0,
70785408,19109,T0,question_reducer,6.0,1.0,2.0,3.6.0,,1.0
70785409,19109,T0,question_reducer,5.0,3.0,1.0,3.6.0,1.0,
70785410,19109,T0,question_reducer,8.0,,1.0,3.6.0,,1.0
70785411,19109,T0,question_reducer,6.0,1.0,1.0,3.6.0,1.0,1.0
70785412,19109,T0,question_reducer,3.0,2.0,1.0,3.6.0,3.0,
70785413,19109,T0,question_reducer,7.0,3.0,,3.6.0,,
70785414,19109,T0,question_reducer,4.0,2.0,2.0,3.6.0,1.0,1.0
70785415,19109,T0,question_reducer,3.0,1.0,3.0,3.6.0,2.0,1.0
70785416,19109,T0,question_reducer,6.0,2.0,1.0,3.6.0,1.0,
70785417,19109,T0,question_reducer,6.0,,3.0,3.6.0,,1.0
70785418,19109,T0,question_reducer,1.0,3.0,4.0,3.6.0,2.0,
70785419,19109,T0,question_reducer,5.0,2.0,2.0,3.6.0,,1.0
70785420,19109,T0,question_reducer,5.0,,2.0,3.6.0,,1.0
70785421,19109,T0,question_reducer,8.0,,1.0,3.6.0,1.0,
70785422,19109,T0,question_reducer,6.0,,3.0,3.6.0,,1.0
70785423,19109,T0,question_reducer,5.0,,4.0,3.6.0,1.0,
70785424,19109,T0,question_reducer,5.0,1.0,3.0,3.6.0,1.0,
70785425,19109,T0,question_reducer,,,9.0,3.6.0,,1.0
70785426,19109,T0,question_reducer,,1.0,7.0,3.6.0,,2.0
70785427,19109,T0,question_reducer,5.0,1.0,3.0,3.6.0,1.0,
70785428,19109,T0,question_reducer,6.0,,2.0,3.6.0,1.0,
70785429,19109,T0,question_reducer,5.0,,4.0,3.6.0,1.0,
70785430,19109,T0,question_reducer,4.0,1.0,5.0,3.6.0,,
70785431,19109,T0,question_reducer,8.0,,1.0,3.6.0,1.0,
70785432,19109,T0,question_reducer,5.0,1.0,2.0,3.6.0,2.0,
70785433,19109,T0,question_reducer,6.0,1.0,2.0,3.6.0,1.0,
70785434,19109,T0,question_reducer,8.0,1.0,1.0,3.6.0,,
70785435,19109,T0,question_reducer,3.0,,5.0,3.6.0,1.0,1.0
70785436,19109,T0,question_reducer,8.0,,1.0,3.6.0,,
70785437,19109,T0,question_reducer,2.0,,3.0,3.6.0,,5.0
70785438,19109,T0,question_reducer,6.0,1.0,2.0,3.6.0,1.0,
70785439,19109,T0,question_reducer,4.0,1.0,,3.6.0,4.0,1.0
70785440,19109,T0,question_reducer,1.0,2.0,2.0,3.6.0,5.0,
70785441,19109,T0,question_reducer,8.0,,2.0,3.6.0,,
