user_name,n_class,user_id
Wyatt2JZ,30,2405340.0
not-logged-in-37f7b2aa57a822bc7251,30,
denizoberke,30,2410481.0
not-logged-in-24a533a48b243e64bf59,30,
not-logged-in-6d1a8b4dcc3b56ce9112,30,
Tillandsia,29,2406666.0
edallaire,29,2421332.0
mardis,29,228729.0
lost1ny3gurl,29,2011959.0
not-logged-in-f08c773ba087424546d0,29,
suicidalfish,28,2423437.0
not-logged-in-d6c4ddc6715994fa906f,28,
sandy59,28,2033656.0
not-logged-in-38cdb3f5919ffaee64e7,28,
bgreiner,28,783488.0
ck12074,28,21357.0
HussainCyclewala007,27,2432434.0
Staceyann116,27,1414925.0
ephanphongsa,26,2379430.0
not-logged-in-9ec7aa9f313dd2928e97,26,
Fawaz,26,2428143.0
Rozziew2399,26,1469434.0
truff,26,366679.0
wellohead,26,1045528.0
3ggRxlls,26,2379481.0
marsearch,26,2409800.0
mara-donnachie,25,2432656.0
not-logged-in-43ab010853d45eb34736,25,
not-logged-in-ebc176fb09e21e8a1700,25,
edvige,25,2205304.0
petermusk,25,2414048.0
LAP236,25,2424801.0
Ameise1971,24,1868543.0
d_d,24,2194796.0
MarsGirl22,24,2437079.0
not-logged-in-dfbec04b0eeac2862de0,24,
airguzzler,23,4530.0
planetari7,23,379013.0
Elessar445,23,2376755.0
AartS,22,2313881.0
eshanjayant,22,2432483.0
Tingshen,22,2406019.0
dabiggreenbus,22,321.0
trix19,22,2434577.0
not-logged-in-2099b7f667df0fb33738,22,
not-logged-in-bff3135ebb4d25660642,22,
bstewart7,21,499553.0
not-logged-in-630cd382cc9ad2c033b8,21,
BigIgloo,21,1566862.0
not-logged-in-ac0c015b55ffd8a05d7a,21,
not-logged-in-6070a08e76c2db417497,21,
not-logged-in-a139edbf580884c1fe9b,21,
Alin0s,21,1533246.0
not-logged-in-9acce3e3822ccf6b8b68,21,
Casey_Alhambra,20,2379444.0
mfschmitz,20,2035867.0
Tim1,20,678424.0
nima812,20,287843.0
blandx,20,1040803.0
bliedtke,19,167612.0
Ajaylal247,19,2324415.0
marmache,19,2431188.0
prime23,19,809998.0
StonePet69,19,1966818.0
jr055,19,1729687.0
not-logged-in-5cde52e100f439ef8187,19,
JoshuaChoo,19,2411083.0
Mjtbarrett,19,513912.0
assa.nightfall,19,1884326.0
not-logged-in-06a4c6ae5454852cb59e,18,
pga99,18,1728334.0
not-logged-in-3dd9624a95b8153f05c0,18,
BeeLindABi,18,2394031.0
Chinabob,18,148.0
not-logged-in-667e6fe9200ced4ff21b,18,
Mphova,18,2410686.0
not-logged-in-f76ff413e6e5837f9d02,18,
not-logged-in-215581b7d4e946de9015,17,
Soltere11,17,1964524.0
skydave1,17,313632.0
LSKE1929,17,805050.0
not-logged-in-f00d7973174f2ff35075,17,
Vishalikasharma,17,2434926.0
LettersFromAcidalia,17,1804758.0
not-logged-in-602e27a36c4a5848a826,17,
Alex-Andersson,17,2185695.0
not-logged-in-9b141555d98a5b866e48,16,
gracei478,16,2421132.0
parimucha,16,26791.0
not-logged-in-6045b7c9498fb116b5f9,16,
not-logged-in-dade2dc35dac34716ed4,16,
sagar211,16,2432146.0
not-logged-in-d61cca37c52dc3caedeb,16,
jdlinco,16,2203526.0
not-logged-in-bbb6e77714dee58c3fb1,16,
iparachikov,15,2413888.0
hokudj,15,2379471.0
jjfreedman,15,231274.0
pmj,15,637439.0
msk513,15,2079676.0
graeme94,15,91126.0
OregonHiker,15,1671997.0
not-logged-in-e0a9c1421cb3550fcde3,15,
not-logged-in-afeebeda41079b22a07c,15,
